alpha,beta,turn_mean,turn_std,pop_mean,pop_std,fix_alpha
0.1,0,61.5,19.5,67.0316666666667,2.8549999999999685,0
0.2,0,51.0,22.0,68.92500000000004,6.341666666666676,0
0,0.1,110.0,3.0,51.96833333333335,0.9716666666666818,1
0,0.2,118.0,16.0,50.17666666666667,3.5433333333333294,1
0,0.0,159.5,21.5,41.29666666666667,3.5033333333333196,1
0.0,0,159.5,21.5,41.29666666666667,3.5033333333333196,0
0.3,0,25.5,22.5,78.67000000000003,7.223333333333343,0
0,0.3,110.5,25.5,52.3,8.410000000000021,1
0.4,0,66.0,60.0,66.64166666666662,19.881666666666625,0
0.5,0,43.5,29.5,74.71499999999996,10.99166666666665,0
0,0.4,81.0,55.0,60.92166666666665,18.644999999999985,1
0.6,0,44.5,4.5,77.01499999999993,2.0416666666666643,0
0,0.5,167.0,15.0,35.973333333333336,4.003333333333332,1
0.7,0,52.0,2.0,74.22999999999993,0.20999999999999375,0
0,0.7,70.5,26.5,67.5833333333333,10.59666666666666,1
0.8,0,77.0,8.0,67.64499999999995,3.5549999999999997,0
0,0.6,119.5,47.5,51.833333333333314,16.936666666666653,1
0,0.8,127.5,43.5,49.63166666666666,15.048333333333336,1
0.9,0,87.0,27.0,64.53833333333328,10.61833333333334,0
1.0,0,61.5,40.5,71.24166666666662,16.115000000000002,0
0,0.9,115.0,46.0,54.176666666666634,15.436666666666614,1
0,1.0,88.5,68.5,64.18333333333331,24.00999999999996,1
